product_number;product_name;discount_price;price
630;Brick Separator;1180.04;0
41946;Extra DOTS – Series 6;9.4;0
41958;Extra DOTS Series 7 - SPORT;18.1;0
71032;Series 22;29.0;0
71033;The Muppets;29.0;0
71034;tbd-Minifigures-Series-23-2022;289.0;0
71402;Character Packs – Series 4;42.14;0
11006;Creative Blue Bricks;19.1;25.0
11012;Creative White Bricks;26.35;0
41963;Mickey Mouse & Minnie Mouse Stitch-on Patch;21.91;0
41942;Into the Deep Bracelets with Charms;47.92;0
41943;Gamer Bracelet with Charms;29.15;0
41953;Rainbow Bracelet with Charms;26.2;29.0
41954;Adhesive Patch;27.62;0
41955;Stitch-on Patch;26.35;0
60296;Wheelie Stunt Bike;23.0;0
60297;Demolition Stunt Bike;35.0;0
60298;Rocket Stunt Bike;44.65;0
60309;Selfie Stunt Bike;29.0;0
60310;Chicken Stunt Bike;27.62;0
60311;Fire Stunt Bike;35.0;0
60331;Touring Stunt Bike;27.75;0
60332;Reckless Scorpion Stunt Bike;24.01;29.0
60333;Bathtub Stunt Bike;78.8;0
71410;tbd-LEAF-15-2022;29.0;0
11017;Creative Monsters;32.0;35.0
11023;Green Baseplate;35.0;0
11025;Blue Baseplate;30.87;35.0
11026;White Baseplate;35.0;0
31111;Cyber Drone;37.24;60.0
31124;Super Robot;33.33;0
31128;Dolphin and Turtle;32.0;35.0
60312;Police Car;38.25;52.0
71761;Zane’s Power Up Mech EVO;45.0;0
10781;Miles Morales: Spider-Man’s Techno Trike;35.28;39.0
10964;Bath Time Fun: Floating Red Panda;34.0;0
10967;Police Motorcycle;32.0;39.0
10971;Wild Animals of Africa;0;0
21177;The Creeper™ Ambush;37.73;0
41696;Pony-Washing Stable;37.14;0
41719;Mobile Fashion Boutique;32.34;39.0
42132;Motorcycle;55.0;0
42133;Telehandler;45.0;0
43198;Anna’s Castle Courtyard;34.73;39.0
43199;Elsa’s Castle Courtyard;34.79;45.14
76212;tbd-LSH-12-2022;58.0;0
88005;Light;158.0;0
10772;Mickey Mouse's Propeller Plane;49.0;0
31100;Sports Car;56.0;0
41439;Cat Grooming Car;48.0;0
41677;Forest Waterfall;59.0;0
41694;Pet Clinic Ambulance;42.86;45.0
60300;Wildlife Rescue ATV;46.0;0
60318;Fire Helicopter;37.24;40.26
60322;Race Car;37.24;39.31
60323;Stunt Plane;37.73;45.0
60344;Chicken Henhouse;49.0;0
70688;Kai's Spinjitzu Ninja Training;42.86;45.0
70689;Lloyd's Spinjitzu Ninja Training;61.95;0
70690;Jay's Spinjitzu Ninja Training;40.5;45.0
71392;Frog Mario Power-Up Pack;44.0;0
71393;Bee Mario Power-Up Pack;36.92;45.0
71396;Bowser Jr.'s Clown Car Expansion Set;34.2;45.0
71404;tbd-LEAF-9-2022;44.95;0
71734;Kai's Blade Cycle;58.0;0
71757;Lloyd's Ninja Mech;37.73;45.0
75321;The Razor Crest™ Microfighter;44.3;0
76145;Eternals’ Aerial Assault;47.0;0
76202;Wolverine Mech Armor;45.0;0
76203;Iron Man Mech Armor;45.0;0
76204;Black Panther Mech Armor;37.24;45.0
31123;Off-road Buggy;46.67;49.0
31125;Fantasy Forest Creatures;46.67;49.0
10980;LEGO® DUPLO® Green Building Plate;141.0;0
31058;Mighty Dinosaurs;84.0;0
41705;Heartlake City Pizzeria;52.25;59.0
43209;Elsa and the Nokk’s Ice Stable;50.0;59.0
76220;tbd-LSH-19-2022;68.3;0
10692;LEGO® Creative Bricks;80.0;0
31112;Wild Lion;75.0;87.0
41443;Olivia's Electric Car;56.0;85.0
41944;Candy Kitty Bracelet & Bag Tag;149.45;0
41945;Neon Tiger Bracelet & Bag Tag;68.64;0
60326;Picnic in the park;68.0;77.0
76179;Batman™ & Selina Kyle™ Motorcycle Pursuit;89.0;0
11018;Creative Ocean Fun;61.6;69.0
31126;Supersonic-jet;64.68;69.0
31127;Street Racer;68.0;0
41715;Ice-Cream Truck;69.0;0
60283;Holiday Camper Van;57.33;97.0
60325;Cement Mixer Truck;61.25;66.91
71760;Jay’s Thunder Dragon EVO;68.73;105.0
10713;Creative Suitcase;67.8;89.0
10777;Mickey Mouse and Minnie Mouse's Camping Trip;67.62;79.0
10782;Hulk vs. Rhino Truck Showdown;101.99;0
10882;Train Tracks;60.0;99.0
10909;Heart Box;85.0;95.0
10938;Dinosaur Nursery;100.0;109.37
10954;Number Train - Learn To Count;66.15;79.0
10960;Belle's Ballroom;65.7;0
10965;Bath Time Fun: Floating Animal Train;68.05;89.0
10968;Doctor Visit;89.0;0
10972;Wild Animals of the Ocean;148.7;0
21178;The Fox Lodge;76.0;0
21179;The Mushroom House;76.44;85.92
41712;Recycling Truck;68.0;79.0
41948;Cute Banana Pen Holder;73.99;0
41950;Lots of DOTS – Lettering;71.04;79.0
41951;Message Board;74.48;79.0
41959;Cute Panda Tray;73.0;79.0
42134;Monster Jam™ Megalodon™;76.2;0
42135;Monster Jam™ El Toro Loco™;77.5;0
60205;Tracks;65.66;79.0
60238;Switch Tracks;65.66;79.0
60287;Tractor;73.7;114.0
60304;Road Plates;99.0;0
60341;The Knockdown Stunt Challenge;71.48;79.0
60342;The Shark Attack Stunt Challenge;68.0;79.0
71768;Jay's Golden Dragon Motorbike;75.24;79.0
75320;Snowtrooper™ Battle Pack;73.0;0
76207;Attack on New Asgard;74.48;79.0
76400;Hogwarts™ Carriage and Thestrals;75.24;79.0
76830;Zyclops Chase;64.19;79.0
76943;Pteranodon Chase;73.78;79.0
76945;Atrociraptor Dinosaur: Bike Chase;75.24;79.0
10773;Minnie Mouse's Ice Cream Shop;134.6;0
10774;Mickey Mouse & Minnie Mouse's Space Rocket;95.0;0
10945;Garbage Truck and Recycling;86.0;0
10955;Animal Train;158.43;0
11008;Bricks and Houses;91.0;99.0
21158;The Panda Nursery;119.02;0
21171;The Horse Stable;74.0;89.0
31114;Superbike;79.0;0
41686;Magical Acrobatics;100.0;0
41695;Pet Clinic;65.9;89.0
41698;Pet Playground;100.0;105.0
41935;Lots of DOTS;99.0;0
41936;Pencil Holder;71.76;84.27
42118;Monster Jam™ Grave Digger™;74.48;121.0
42119;Monster Jam™ Max-D™;98.0;114.0
43200;Antonio's Magical Door;89.1;99.0
43201;Isabela's Magical Door;78.0;0
