product_number;product_name;discount_price;price
630;Brick Separator;59.85;103.95
41946;Extra DOTS – Series 6;17.15;35
41958;Extra DOTS Series 7 - SPORT;16.98;34.65
71032;Series 22;17.15;35
71033;The Muppets;16.66;34
71034;tbd-Minifigures-Series-23-2022;16.66;34
71402;Character Packs – Series 4;;
11006;Creative Blue Bricks;16.17;33
11012;Creative White Bricks;190.12;388
41963;Mickey Mouse & Minnie Mouse Stitch-on Patch;25.48;52
41942;Into the Deep Bracelets with Charms;25.97;53
41943;Gamer Bracelet with Charms;25.48;52
41953;Rainbow Bracelet with Charms;25.97;53
41954;Adhesive Patch;25.48;52
41955;Stitch-on Patch;25.48;52
60296;Wheelie Stunt Bike;21.07;43
60297;Demolition Stunt Bike;21.07;43
60298;Rocket Stunt Bike;21.07;43
60309;Selfie Stunt Bike;21.07;43
60310;Chicken Stunt Bike;21.07;43
60311;Fire Stunt Bike;21.07;43
60331;Touring Stunt Bike;24.01;49
60332;Reckless Scorpion Stunt Bike;24.01;49
60333;Bathtub Stunt Bike;24.01;49
71410;tbd-LEAF-15-2022;;
11017;Creative Monsters;34.3;70
11023;Green Baseplate;18.76;25
11025;Blue Baseplate;30.87;63
11026;White Baseplate;30.87;63
31111;Cyber Drone;37.24;76
31124;Super Robot;72.58;82.95
31128;Dolphin and Turtle;32.83;67
60312;Police Car;31.36;64
71761;Zane’s Power Up Mech EVO;29.4;60
10781;Miles Morales: Spider-Man’s Techno Trike;35.28;72
10964;Bath Time Fun: Floating Red Panda;34.79;71
10967;Police Motorcycle;36.26;74
10971;Wild Animals of Africa;37.73;77
21177;The Creeper™ Ambush;37.73;77
41696;Pony-Washing Stable;;
41719;Mobile Fashion Boutique;32.34;66
42132;Motorcycle;40.18;82
42133;Telehandler;40.18;82
43198;Anna’s Castle Courtyard;37.73;77
43199;Elsa’s Castle Courtyard;34.79;71
76212;tbd-LSH-12-2022;;
88005;Light;83.1;108.02
10772;Mickey Mouse's Propeller Plane;39.69;81
10957;Fire Helicopter & Police Car;29.89;61
31100;Sports Car;36.26;74
41439;Cat Grooming Car;29.4;60
