product_number;product_name;discount_price;price
630;Brick Separator;10;19
42114;6x6 Volvo Articulated Hauler;1199;1599
75313;AT-AT™;0;4399
75252;Imperial Star Destroyer™;2100;3999
75192;Millennium Falcon™;2799;4299
10307;tbd-Icons-World-Buildings-1-2022;0;2999
10294;Titanic;0;3699
75331;tbd-IP-LSW-13-2022;0;3199
76210;tbd-LSH-9-2022;0;2799
10276;Colosseum;1949;2599
71043;Hogwarts™ Castle;0;2799
76405;tbd-HP-10-2022-D2C;0;2599
42131;App-Controlled Cat® D11 Bulldozer;1799;2399
42083;Bugatti Chiron;0;2499
75978;Diagon Alley™;1896;2529
42143;Ferrari Daytona SP3;0;2399
42115;Lamborghini Sián FKP 37;0;2129
75309;Republic Gunship™;1055;1799
75290;Mos Eisley Cantina™;0;1999
21323;Grand Piano;1499;1999
10305;tbd-Icons-Special-1-2022;0;1999
10303;Loop Coaster;0;2099
10299;Real Madrid – Santiago Bernabéu Stadium;0;1999
71040;The Disney Castle;1874;2499
51515;Robot Inventor;0;2499
76215;tbd-LSH-14-2022;0;1799
76178;Daily Bugle;0;1759
71741;NINJAGO® City Gardens;899;1599
10284;Camp Nou – FC Barcelona;959;1699
10272;Old Trafford - Manchester United;1229;1639
42129;App-Controlled 4x4 Mercedes-Benz Zetros Trial Truck;1199;1599
76391;Hogwarts™ Icons - Collectors' Edition;0;1399
21335;tbd-Ideas-5-2022;0;1749
21330;Home Alone;0;1499
10273;Haunted House;0;1499
10255;Assembly Square;1259;1799
71411;tbd-LEAF-16-2022;0;1319
71374;Nintendo Entertainment System™;0;1399
76240;Batmobile™ Tumbler;0;1299
76218;tbd-LSH-17-2022;0;1159
42130;BMW M 1000 RR;0;1159
31203;World Map;1049;1399
21337;tbd-Ideas-7-2022;0;1299
21327;Typewriter;0;1199
75341;Luke Skywalker’s Landspeeder™;0;1099
75308;R2-D2™;629;1099
10306;tbd-Icons-IP-Games-1-2022;0;1099
10274;Ghostbusters™ ECTO-1;0;1269
21332;The Globe;0;1199
10297;Boutique Hotel;0;1099
76161;1989 Batwing;0;1099
42110;Land Rover Defender;944;1259
71395;Super Mario 64™ Question Mark Block;825;1099
43197;The Ice Castle;599;1099
42145;Airbus H175 Rescue Helicopter;0;1199
42141;McLaren Formula 1™ Race Car;0;1059
42125;Ferrari 488 GTE “AF Corse #51”;0;999
42096;Porsche 911 RSR;0;1079
10300;Back to the Future Time Machine;0;959
10283;NASA Space Shuttle Discovery;815;1089
10278;Police Station;575;899
10270;Bookshop;749;999
43179;Mickey Mouse & Minnie Mouse Buildable Ch;749;999
60198;Cargo Train;944;1259
17101;Creative Toolbox;794;1059
75315;Imperial Light Cruiser™;499;829
60336;Freight Train;0;1059
42128;Heavy-duty Tow Truck;471;799
21325;Blacksmith;469;799
10302;Optimus Prime;0;939
10292;The Friends Apartments;674;899
10279;Volkswagen T2 Camper Van;569;859
76193;The Guardians’ Ship;501;669
75323;tbd-IP-LSW4-2022;0;809
21333;Vincent van Gogh - The Starry Night;0;959
10304;tbd-Icons-IP-Vehicle-2-2022;0;899
10295;Porsche 911;0;799
10265;Ford Mustang;0;899
42126;Ford® F-150 Raptor;579;899
76389;Hogwarts™ Chamber of Secrets;0;899
75574;tbd-PT-IP-4-2021;0;889
71774;Lloyd’s Golden Ultra Dragon;0;829
71756;Hydro Bounty;651;869
60351;Rocket Launch Center;0;769
60339;Double Loop Stunt Arena;0;829
60337;Express Passenger Train;0;869
42140;App-Controlled Transformation Vehicle;0;809
41704;Main Street Building;0;849
31206;The Rolling Stones;0;809
76393;Harry Potter™ & Hermione Granger™;599;799
60197;Passenger Train;569;759
76949;Giganotosaurus & Therizinosaurus Attack;0;809
75337;tbd-IP-LSW-19-2022;0;869
75292;The Razor Crest™;0;849
21058;Great Pyramid of Giza;0;879
71408;tbd-LEAF-13-2022;0;769
10956;Amusement Park;524;699
92176;LEGO® NASA Apollo Saturn V;561;749
31204;Elvis Presley “The King”;524;699
31202;Disney's Mickey Mouse;449;689
31201;Harry Potter™ Hogwarts™ Crests;449;689
21324;123 Sesame Street;524;699
21226;Art Project - Create Together;419;699
21174;The Modern Treehouse;0;799
76408;12 Grimmauld Place;0;779
76209;Thor's Hammer;576;769
31109;Pirate Ship;471;629
21188;The Llama Village;0;759
10975;Wild Animals of the World;0;689
10875;Cargo Train;0;779
10290;Pickup Truck;599;799
71755;Temple of the Endless Sea;494;659
71775;Nya's Samurai X MECH;0;649
42144;Material Handler;0;629
42111;Dom's Dodge Charger;449;599
31205;Jim Lee Batman™ Collection;0;699
31132;Viking Ship and the Midgard Serpent;0;589
21336;tbd-ideas-6-2022;0;629
21329;Fender® Stratocaster™;501;669
21056;Taj Mahal;0;629
21054;The White House;375;579
10948;Parking Garage and Car Wash;449;599
76156;Rise of the Domo;425;699
75980;Attack on the Burrow;524;699
75948;Hogwarts™ Clock Tower;426;569
75314;The Bad Batch™ Attack Shuttle;425;649
71391;Bowser’s Airship Expansion Set;339;639
60307;Wildlife Rescue Camp;449;599
60295;Stunt Show Arena;441;589
60292;Town Center;449;599
60262;Passenger Airplane;0;579
41685;Magical Funfair Roller Coaster;404;539
41684;Heartlake City Grand Hotel;449;599
41450;Heartlake City Shopping Mall;449;599
10943;Happy Childhood Moments;349;579
76956;T. rex Breakout;479;639
76948;T. rex & Atrociraptor Dinosaur Breakout;426;569
76403;The Ministry of Magic™;0;589
76192;Avengers: Endgame Final Battle;434;579
75969;Hogwarts™ Astronomy Tower;471;629
75955;Hogwarts™ Express;426;569
75573;tbd-PT-IP-3-2021;0;569
75336;Inquisitor Transport Scythe™;0;629
75335;BD-1™;0;569
71773;Kai’s Golden Dragon Raider;0;499
71767;Ninja Dojo Temple;449;599
71765;Ninja Ultra Combo Mech;0;499
71739;Ultra Sonic Raider;419;559
60350;Lunar Research Base;0;589
60330;Hospital;0;599
60321;Fire Brigade;426;569
60317;Police Chase at the Bank;449;599
60302;Wildlife Rescue Operation;299;539
43207;Ariel's Underwater Palace;0;499
43205;Ultimate Adventure Castle;0;589
42127;THE BATMAN - BATMOBILE™;0;629
41722;Horse Show Trailer;0;589
41721;Organic Farm;0;499
41714;Andrea's Theater School;0;589
31120;Medieval Castle;0;599
31119;Ferris Wheel;411;549
21334;tbd-Ideas-4-2022;0;599
21326;Winnie the Pooh;501;669
21187;The Red Barn;0;629
21042;Statue of Liberty;0;669
11020;Build Together;0;599
10974;Wild Animals of Asia;0;519
10970;Fire Station & Helicopter;0;519
