product_number;product_name;discount_price;price
630;Brick Separator;96.0;129.0
41946;Extra DOTS – Series 6;13.0;19.0
41958;Extra DOTS Series 7 - SPORT;13.0;19.0
71032;Series 22;111.0;149.0
71033;The Muppets;36.0;49.0
71034;tbd-Minifigures-Series-23-2022;186.0;249.0
71402;Character Packs – Series 4;194.0;259.0
11006;Creative Blue Bricks;1199.0;0
11012;Creative White Bricks;186.0;249.0
41963;Mickey Mouse & Minnie Mouse Stitch-on Patch;107.0;179.0
41942;Into the Deep Bracelets with Charms;107.0;179.0
41943;Gamer Bracelet with Charms;20.0;29.0
41953;Rainbow Bracelet with Charms;107.0;179.0
41954;Adhesive Patch;107.0;179.0
41955;Stitch-on Patch;20.0;29.0
60296;Wheelie Stunt Bike;111.0;149.0
60297;Demolition Stunt Bike;21.0;29.0
60298;Rocket Stunt Bike;111.0;149.0
60309;Selfie Stunt Bike;374.0;499.0
60310;Chicken Stunt Bike;336.0;449.0
60311;Fire Stunt Bike;336.0;449.0
60331;Touring Stunt Bike;336.0;449.0
60332;Reckless Scorpion Stunt Bike;336.0;449.0
60333;Bathtub Stunt Bike;374.0;499.0
71410;tbd-LEAF-15-2022;194.0;259.0
11017;Creative Monsters;186.0;249.0
11023;Green Baseplate;965.0;1379.0
11025;Blue Baseplate;186.0;249.0
11026;White Baseplate;419.0;599.0
31111;Cyber Drone;74.0;99.0
31124;Super Robot;74.0;149.0
31128;Dolphin and Turtle;359.0;479.0
60312;Police Car;336.0;449.0
71761;Zane’s Power Up Mech EVO;674.0;899.0
10781;Miles Morales: Spider-Man’s Techno Trike;103.0;125.0
10964;Bath Time Fun: Floating Red Panda;1199.0;1599.0
10967;Police Motorcycle;139.0;149.0
10971;Wild Animals of Africa;103.0;125.0
21177;The Creeper™ Ambush;1199.0;0
41696;Pony-Washing Stable;74.0;99.0
41719;Mobile Fashion Boutique;246.0;329.0
42132;Motorcycle;74.0;149.0
42133;Telehandler;1199.0;0
43198;Anna’s Castle Courtyard;674.0;899.0
43199;Elsa’s Castle Courtyard;674.0;899.0
76212;tbd-LSH-12-2022;2599.0;0
88005;Light;374.0;499.0
10772;Mickey Mouse's Propeller Plane;103.0;125.0
10957;Fire Helicopter & Police Car;139.0;149.0
31100;Sports Car;965.0;1379.0
41439;Cat Grooming Car;107.0;179.0
41677;Forest Waterfall;261.0;349.0
41694;Pet Clinic Ambulance;33.0;45.0
41697;Turtle Protection Vehicle;33.0;45.0
60300;Wildlife Rescue ATV;1199.0;0
60318;Fire Helicopter;374.0;499.0
60322;Race Car;336.0;449.0
60323;Stunt Plane;194.0;259.0
60344;Chicken Henhouse;194.0;259.0
70688;Kai's Spinjitzu Ninja Training;186.0;249.0
70689;Lloyd's Spinjitzu Ninja Training;224.0;299.0
70690;Jay's Spinjitzu Ninja Training;261.0;349.0
71392;Frog Mario Power-Up Pack;36.0;49.0
71393;Bee Mario Power-Up Pack;36.0;49.0
71396;Bowser Jr.'s Clown Car Expansion Set;33.0;45.0
71404;tbd-LEAF-9-2022;194.0;259.0
71734;Kai's Blade Cycle;396.0;529.0
71757;Lloyd's Ninja Mech;396.0;529.0
75321;The Razor Crest™ Microfighter;33.0;45.0
76145;Eternals’ Aerial Assault;261.0;349.0
76202;Wolverine Mech Armor;2599.0;0
76203;Iron Man Mech Armor;2599.0;0
76204;Black Panther Mech Armor;33.0;45.0
31123;Off-road Buggy;965.0;1379.0
31125;Fantasy Forest Creatures;249.0;499.0
10980;LEGO® DUPLO® Green Building Plate;1199.0;1599.0
11024;Gray Baseplate;1199.0;1599.0
31058;Mighty Dinosaurs;13.0;19.0
41705;Heartlake City Pizzeria;246.0;329.0
43209;Elsa and the Nokk’s Ice Stable;674.0;899.0
76220;tbd-LSH-19-2022;2599.0;0
10692;LEGO® Creative Bricks;103.0;125.0
31112;Wild Lion;74.0;149.0
41443;Olivia's Electric Car;56.0;75.0
41944;Candy Kitty Bracelet & Bag Tag;107.0;179.0
41945;Neon Tiger Bracelet & Bag Tag;45.0;65.0
60326;Picnic in the park;194.0;259.0
76179;Batman™ & Selina Kyle™ Motorcycle Pursuit;674.0;899.0
11018;Creative Ocean Fun;186.0;249.0
31126;Supersonic-jet;419.0;599.0
31127;Street Racer;74.0;149.0
41715;Ice-Cream Truck;246.0;329.0
60283;Holiday Camper Van;69.0;99.0
60325;Cement Mixer Truck;194.0;259.0
71760;Jay’s Thunder Dragon EVO;674.0;899.0
10713;Creative Suitcase;109.0;0
10777;Mickey Mouse and Minnie Mouse's Camping Trip;103.0;125.0
10782;Hulk vs. Rhino Truck Showdown;103.0;125.0
10882;Train Tracks;103.0;125.0
10909;Heart Box;1199.0;0
10938;Dinosaur Nursery;139.0;149.0
10954;Number Train - Learn To Count;1199.0;1599.0
10960;Belle's Ballroom;1199.0;0
10965;Bath Time Fun: Floating Animal Train;139.0;149.0
10968;Doctor Visit;89.0;0
10972;Wild Animals of the Ocean;103.0;125.0
21178;The Fox Lodge;74.0;99.0
21179;The Mushroom House;674.0;899.0
41712;Recycling Truck;246.0;329.0
41948;Cute Banana Pen Holder;107.0;179.0
41950;Lots of DOTS – Lettering;118.0;169.0
41951;Message Board;107.0;179.0
41959;Cute Panda Tray;107.0;179.0
42134;Monster Jam™ Megalodon™;974.0;1299.0
42135;Monster Jam™ El Toro Loco™;54.0;109.0
60205;Tracks;374.0;499.0
60238;Switch Tracks;69.0;99.0
60287;Tractor;69.0;99.0
60304;Road Plates;374.0;499.0
60341;The Knockdown Stunt Challenge;194.0;259.0
60342;The Shark Attack Stunt Challenge;336.0;449.0
71768;Jay's Golden Dragon Motorbike;396.0;529.0
75320;Snowtrooper™ Battle Pack;674.0;899.0
76207;Attack on New Asgard;2599.0;0
76400;Hogwarts™ Carriage and Thestrals;2599.0;0
76830;Zyclops Chase;2599.0;0
76943;Pteranodon Chase;411.0;549.0
76945;Atrociraptor Dinosaur: Bike Chase;411.0;549.0
10773;Minnie Mouse's Ice Cream Shop;103.0;125.0
10774;Mickey Mouse & Minnie Mouse's Space Rocket;103.0;125.0
10945;Garbage Truck and Recycling;139.0;149.0
10955;Animal Train;139.0;149.0
11008;Bricks and Houses;1199.0;0
21158;The Panda Nursery;13.0;19.0
21171;The Horse Stable;74.0;99.0
31114;Superbike;359.0;479.0
41686;Magical Acrobatics;74.0;99.0
41695;Pet Clinic;66.0;89.0
41698;Pet Playground;66.0;89.0
41935;Lots of DOTS;107.0;179.0
41936;Pencil Holder;59.0;99.0
42118;Monster Jam™ Grave Digger™;974.0;1299.0
42119;Monster Jam™ Max-D™;674.0;899.0
43189;Elsa and the Nokk Storybook Adventures;674.0;899.0
43200;Antonio's Magical Door;54.0;109.0
43201;Isabela's Magical Door;54.0;109.0
60276;Police Prisoner Transport;674.0;899.0
60299;Stunt Competition;111.0;149.0
60340;The Blade Stunt Challenge;194.0;259.0
71740;Jay's Electro Mech;74.0;99.0
71745;Lloyd's Jungle Chopper Bike;396.0;529.0
71750;Lloyd's Hydro Mech;396.0;529.0
75310;Duel on Mandalore™;674.0;899.0
76154;Deviant Ambush!;374.0;499.0
76184;Spider-Man vs. Mysterio’s Drone Attack;33.0;45.0
76186;Black Panther Dragon Flyer;2599.0;0
76195;Spider-Man’s Drone Duel;674.0;899.0
76198;Spider-Man & Doctor Octopus Mech Battle;336.0;449.0
76219;Spider-Man & Green Goblin Mech Battle;2599.0;0
76900;Koenigsegg Jesko;2599.0;0
76901;Toyota GR Supra;2599.0;0
76902;McLaren Elva;2599.0;0
10872;Train Bridge and Tracks;103.0;125.0
10944;Space Shuttle Mission;1199.0;1599.0
21180;The Guardian Battle;74.0;99.0
21184;The Bakery;74.0;99.0
41960;Big Box;107.0;179.0
60352;LEGO® City Advent Calendar;336.0;449.0
76906;1970 Ferrari 512 M;2599.0;0
76907;Lotus Evija;2599.0;0
76908;Lamborghini Countach;2599.0;0
76911;007 Aston Martin DB5;2599.0;0
76912;Fast & Furious 1970 Dodge Charger R/T;2599.0;0
41706;LEGO® Friends Advent Calendar;246.0;329.0
41707;Tree-Planting Vehicle;246.0;329.0
60327;Horse Transporter;374.0;499.0
60343;Rescue Helicopter Transport;194.0;259.0
71035;The Muppets 6 pack;674.0;899.0
71036;tbd-Minifigures-Series-23-6-pack-2022;674.0;899.0
71397;Luigi’s Mansion™ Lab and Poltergust Expansion Set;81.0;109.0
71405;tbd-LEAF-10-2022;674.0;899.0
71762;Kai’s Fire Dragon EVO;111.0;149.0
71763;Lloyd’s Race Car EVO;396.0;529.0
10696;LEGO® Medium Creative Brick Box;224.0;299.0
10913;Brick Box;139.0;149.0
10969;Fire Truck;139.0;149.0
11013;Creative Transparent Bricks;186.0;249.0
11019;Bricks and Functions;186.0;249.0
21189;The Skeleton Dungeon;74.0;99.0
31130;Sunken Treasure Mission;965.0;1379.0
41699;Pet Adoption Café;74.0;99.0
41947;Mickey & Friends Bracelets Mega Pack;107.0;179.0
41957;Adhesive Patches Mega Pack;107.0;179.0
42136;John Deere 9620R 4WD Tractor;974.0;1299.0
60314;Ice Cream Truck Police Chase;336.0;449.0
60319;Fire Rescue & Police Chase;194.0;259.0
60353;Wild Animal Rescue Missions;374.0;499.0
60354;Mars Spacecraft Exploration Missions;374.0;499.0
60355;Water Police Detective Missions;374.0;499.0
71770;Zane's Golden Dragon Jet;396.0;529.0
76181;Batmobile™: The Penguin™ Chase;111.0;149.0
76225;tbd-LSH-24-2022;2599.0;0
76226;tbd-LSH-25-2022;2599.0;0
76230;tbd-LSH-31-2022;2599.0;0
10775;Mickey Mouse & Donald Duck's Farm;103.0;125.0
10778;Mickey, Minnie and Goofy's Fairground Fun;103.0;125.0
10783;Spider-Man at Doc Ock’s Lab;103.0;125.0
10915;Alphabet Truck;139.0;149.0
10939;T. rex and Triceratops Dinosaur Breakout;674.0;899.0
10940;Spider-Man Headquarters;139.0;149.0
10946;Family Camping Van Adventure;139.0;149.0
10951;Horse Stable and Pony Care;139.0;149.0
10961;Airplane & Airport;139.0;149.0
21168;The Warped Forest;164.0;219.0
21172;The Ruined Portal;74.0;99.0
31113;Race Car Transporter;965.0;1379.0
