product_number;product_name;discount_price;price
10294;Titanic;107.1;119.0
75309;Republic Gunship™;1725.0;2150.0
71741;NINJAGO® City Gardens;1349.0;1475.0
10273;Haunted House;1149.0;1249.0
76240;Batmobile™ Tumbler;969.0;1299.0
10274;Ghostbusters™ ECTO-1;969.0;1199.0
42110;Land Rover Defender;799.0;899.0
43197;The Ice Castle;869.0;999.0
42125;Ferrari 488 GTE “AF Corse #51”;775.0;899.0
42096;Porsche 911 RSR;1299.0;1299.0
60198;Cargo Train;849.0;999.0
17101;Creative Toolbox;685.0;685.0
75315;Imperial Light Cruiser™;649.0;699.0
42128;Heavy-duty Tow Truck;649.0;811.25
21325;Blacksmith;715.0;715.0
10292;The Friends Apartments;599.0;699.0
76193;The Guardians’ Ship;649.0;799.0
10265;Ford Mustang;649.0;699.0
42126;Ford® F-150 Raptor;625.0;675.0
76389;Hogwarts™ Chamber of Secrets;619.0;699.0
71774;Lloyd’s Golden Ultra Dragon;233.1;259.0
60351;Rocket Launch Center;549.0;649.0
60339;Double Loop Stunt Arena;549.0;649.0
42140;App-Controlled Transformation Vehicle;549.0;699.0
41704;Main Street Building;659.0;659.0
31206;The Rolling Stones;649.0;799.0
42124;Off-Road Buggy;575.0;699.0
21058;Great Pyramid of Giza;599.0;799.0
10956;Amusement Park;305.0;549.0
31202;Disney's Mickey Mouse;499.0;599.0
31201;Harry Potter™ Hogwarts™ Crests;395.0;709.0
21324;123 Sesame Street;499.0;599.0
21174;The Modern Treehouse;549.0;549.0
31109;Pirate Ship;499.0;599.0
21188;The Llama Village;502.55;529.0
10975;Wild Animals of the World;512.0;614.4
10290;Pickup Truck;575.0;675.0
71755;Temple of the Endless Sea;465.0;585.0
71775;Nya's Samurai X MECH;233.1;259.0
42111;Dom's Dodge Charger;475.0;475.0
31132;Viking Ship and the Midgard Serpent;499.0;599.0
21056;Taj Mahal;499.0;599.0
21054;The White House;475.0;575.0
10948;Parking Garage and Car Wash;499.0;499.0
76156;Rise of the Domo;299.0;499.0
75948;Hogwarts™ Clock Tower;449.0;549.0
71391;Bowser’s Airship Expansion Set;335.0;565.0
60307;Wildlife Rescue Camp;449.0;549.0
60295;Stunt Show Arena;419.0;599.0
60292;Town Center;485.0;585.0
60262;Passenger Airplane;439.0;499.0
41684;Heartlake City Grand Hotel;465.0;599.0
10943;Happy Childhood Moments;299.0;399.0
76948;T. rex & Atrociraptor Dinosaur Breakout;385.0;499.0
76192;Avengers: Endgame Final Battle;435.0;535.0
75969;Hogwarts™ Astronomy Tower;449.0;549.0
75326;Boba Fett's Throne Room;425.0;499.0
71773;Kai’s Golden Dragon Raider;332.1;369.0
71765;Ninja Ultra Combo Mech;373.0;439.0
60330;Hospital;399.0;399.0
60321;Fire Brigade;399.0;499.0
60302;Wildlife Rescue Operation;345.0;399.0
43207;Ariel's Underwater Palace;379.0;449.0
43205;Ultimate Adventure Castle;405.0;405.0
42127;THE BATMAN - BATMOBILE™;435.0;535.0
41721;Organic Farm;299.0;399.0
10974;Wild Animals of Asia;395.1;439.0
10970;Fire Station & Helicopter;339.0;399.0
10289;Bird of Paradise;475.0;575.0
10282;adidas Originals Superstar;435.0;535.0
76989;Horizon Forbidden West: Tallneck;349.0;399.0
76402;Hogwarts™: Dumbledore’s Office;369.0;369.0
76388;Hogsmeade™ Village Visit;389.0;449.0
42139;All-Terrain Vehicle;365.0;399.0
76175;Attack on the Spider Lair;375.0;425.0
71401;Luigi’s Mansion™ Haunt-and-Seek Expansion Set;355.0;355.0
43206;Cinderella and Prince Charming's Castle;325.0;399.0
71771;The Crystal King Temple;314.0;399.0
41703;Friendship Tree House;349.0;399.0
41702;Canal Houseboat;314.0;314.0
11022;Space Mission;314.1;349.0
76187;Venom;299.0;349.0
